Number,Price,Title,Date
1,$0,"2016 NISSAN LEAF S *0-500 DOWN, BAD CREDIT WORKS FOR CASH",May-01
2,$3600,2008 SATURN AURA XE,May-01
3,$5800,1994 Chevy Kodiak Stake Truck,May-01
4,$23600,2018 Nissan Frontier Crew Cab SV Pickup 4D 5 ft pickup BLACK - FINANCE,May-01
5,$22800,2018 Ford Mustang EcoBoost Convertible 2D Convertible Silver - FINANCE,May-01
6,$11200,2016 Chevy Chevrolet Spark EV 1LT Hatchback 4D hatchback Black -,May-01
7,$11700,2016 Chevy Chevrolet Spark EV 2LT Hatchback 4D hatchback BLACK -,May-01
8,$500,1991 Yugo GV Plus,May-01
9,$32995,2016 Mercedes Benz C450 AMG 4MATIC*25K*Navi*Warranty*626*964*5111,May-01
10,$9000,2005 Cadillac Escalade Ext,May-01
11,$0,"2015 BMW i3 MEGA *0-500 DOWN, BAD CREDIT CHARGE OFF BK*",May-01
12,$22500,2017 BMW X1 xDrive28i SUV*Navi*Tech PKG*Warranty*626*964*5111,May-01
13,$26995,2016 BMW M235i Convertible *Navi*Tech PKG*Warranty*626*964*5111,May-01
14,$23500,2016 BMW 528i Luxury Sedan*ONLY 22k*Navi*Warranty*626*964-5111,May-01
15,$19300,2016 Mercedes Benz C300 Sedan*Loaded*Warranty*626*964*5111,May-01
16,$23995,2016 Mercedes Benz E350 Sedan *35k*Navi*Warranty*626*964*5111,May-01
17,$36500,2017 Mercedes Benz E300 Sedan* 34k*Navi*Warranty*626*964*5111,May-01
18,$28995,2017 Mercedes Benz C300 Coupe*Only 28k*Navi*Warranty*626*964*5111,May-01
19,$20500,2016 Mercedes Benz C300 Sedan *35k*Navi*Warranty*626*964*5111,May-01
20,$28500,2016 Mercedes Benz GLC300 SUV *10k*Navi*Warranty*626*964*5111,May-01
